Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
109,46.844036697,20.790032473,-0.137614679,MARIETTA CITY,0.161343301,0.278624388,0.059644004,0
37,42,16.939434596,-0.108108108,BROOKVILLE CITY,0.162142818,0.283519129,0.086969568,0.020833333
77,44.259740260,17.755949779,-0.025974026,CHEVIOT CITY,0.138955888,0.283741594,0.041881371,0.033653846
413,47.273607748,17.721009576,-0.121065375,FINDLAY CITY,0.144949216,0.249535233,0.072582115,0.050986842
164,49.957317073,19.185676729,0.054878049,OREGON CITY,0.155357426,0.317305946,0.050751332,0.024
287,42.466898955,15.389969890,-0.041811847,MONROE CITY,0.106135065,0.206352828,0.027507106,0.025362319
348,48.925287356,18.494181457,-0.045977011,THE VILLAGE OF INDIAN HILL CITY,0.159699391,0.302816433,0.043647182,0.013307985
1185,44.341772152,16.905954649,0.065822785,CUYAHOGA FALLS CITY,0.101968854,0.199919081,0.035327115,0.005289421
108,47.694444444,19.065287894,-0.055555556,PORTSMOUTH CITY,0.118202565,0.204438020,0.039278857,0.016666667
173,44.127167630,15.722003969,0.098265896,OAKWOOD CITY,0.165171199,0.279615110,0.070803367,0.014925373
82,45.695121951,17.912468259,-0.036585366,WILMINGTON CITY,0.107329733,0.196754256,0.045763872,0.038793103
256,42.94140625,18.331171469,-0.0078125,LIMA CITY,0.109704268,0.210565297,0.043559444,0.0171875
687,44.739446870,16.936012357,0.017467249,DELAWARE CITY,0.139887772,0.253119540,0.055109710,0.028326746
221,45.085972851,16.586051987,-0.085972851,MIAMISBURG CITY,0.133614494,0.253924261,0.043478148,0.0125
101,50.574257426,19.880315156,-0.198019802,VAN WERT CITY,0.172647759,0.297974329,0.087888297,0.025641026
4741,40.120438726,16.564477201,0.177599663,CINCINNATI CITY,0.124350653,0.241483904,0.039872547,0.022020240
220,49.186363636,17.987230261,-0.004545455,CHILLICOTHE CITY,0.201733491,0.354623723,0.096541981,0.101532567
34,46.911764706,17.198251580,-0.029411765,RITTMAN CITY,0.127390032,0.244025886,0.055506765,0.010416667
1661,48.245635160,18.591612645,-0.007224564,BEAVERCREEK CITY,0.143482711,0.260243522,0.059156102,0.022406639
145,48.8,19.872719995,-0.158620690,TIFFIN CITY,0.159136810,0.283668386,0.079382220,0.066176471
269,46.832713755,18.107625189,0.037174721,SYLVANIA CITY,0.147528085,0.289369415,0.049138123,0.005154639
328,43.570121951,19.682835876,0.143292683,KENT CITY,0.150099376,0.269849552,0.067633113,0.048290598
74,46.635135135,17.098084748,0.027027027,MORAINE CITY,0.102775520,0.201047628,0.039066339,0.004807692
256,49.69921875,19.135619168,-0.05078125,LANCASTER CITY,0.157115729,0.289952375,0.067127698,0.112413194
488,50.178278689,17.643834818,-0.018442623,NORTH RIDGEVILLE CITY,0.153396838,0.288528527,0.065492938,0.061403509
