Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
1,62,,-1,SYRACUSE,0.078125,0.16,0.028571429,0
7,55.142857143,23.455124326,-0.142857143,BLOOMVILLE,0.341602089,0.537142857,0.086160714,0.083333333
15,38.6,18.094197965,0,CROOKSVILLE,0.125587209,0.253064182,0.046995010,0
5,41.4,22.142718894,-0.4,PORT WASHINGTON,0.268509615,0.497333333,0.102857143,0
6,48.666666667,23.001449230,-0.666666667,WILLSHIRE,0.338541667,0.5,0.091428572,0
134,46.417910448,19.741677035,0.164179104,BEDFORD,0.139420858,0.260586770,0.063743492,0.005617978
332,46.960843373,18.215103703,0.039156627,SANDUSKY,0.149999309,0.281223880,0.059675585,0.025850340
2,42.5,17.677669530,-0.5,CHAUNCEY,0.078125,0.18,0.014285714,0
131,46.954198473,18.063078618,-0.061068702,JOHNSTOWN,0.180317081,0.322751050,0.091857806,0.028061224
1,77,,-1,HAMLER,0.578125,0.84,0.428571429,0.25
9,30.222222222,14.140171302,-0.111111111,COAL GROVE,0.173597602,0.320740741,0.049618437,0
35,46.742857143,18.378924722,0,BIDWELL,0.129357783,0.265485784,0.042675737,0
93,43.741935484,15.256433586,-0.182795699,TRENTON,0.116050127,0.231379282,0.029090130,0.021428571
23,48.130434783,17.715695013,-0.173913043,KILLBUCK,0.275626377,0.475815682,0.106288449,0.069444444
1,20,,0,FREDERICKSBURG,0.166666667,0.333333333,0,
111,50.594594595,20.546346005,0.189189189,BEDFORD HTS,0.139481480,0.256943395,0.048472441,0
522,48.542145594,18.521221568,0.103448276,MAYFIELD HTS,0.107425550,0.209356684,0.038506094,0.000634518
310,45.106451613,17.420507119,-0.129032258,TIPP CITY,0.128696802,0.232371179,0.056035869,0.014639640
63,50.158730159,19.656900905,0.142857143,ROSSFORD,0.194455409,0.359266033,0.078120906,0.010869565
137,45.328467153,19.488725809,0.233576642,EAST CLEVELAND,0.117331581,0.226672040,0.046798005,0.011494253
2,70,0,-1,JEWELL,0.515625,0.84,0.342857143,0
341,47.167155425,18.431388839,-0.038123167,PAINESVILLE,0.151348132,0.278712496,0.057674265,0.033596838
3,39,22.605309111,0,OWENSVILLE,0.088452381,0.158421053,0.020634921,0
5,38.2,12.357184145,0.2,HASKINS,0.078125,0.184,0.014285714,0
218,49.082568807,18.031272599,0.082568807,FAIRLAWN,0.139421688,0.269401340,0.041131051,0.013975155
147,48.517006803,18.965850255,-0.088435374,ENGLEWOOD,0.178183100,0.331924552,0.073219946,0.070754717
21,55.428571429,19.956381006,-0.142857143,WEST UNITY,0.301993146,0.491611722,0.176530612,0.25
409,47.232273839,16.767801046,-0.110024450,MARYSVILLE,0.141538200,0.274256963,0.051121737,0.017668776
70,49.557142857,19.343302563,-0.3,ARCANUM,0.217760025,0.394410481,0.107160286,0.0625
43,50.720930233,17.188486708,-0.302325581,SPRING VALLEY,0.179421215,0.326704048,0.087041265,0.019736842
212,48.632075472,19.558067860,0.051886792,WILLOWICK,0.205319955,0.362793229,0.086402876,0.057565789
18,58.777777778,18.916396733,-0.111111111,POLK,0.315516128,0.585892256,0.145543346,0.083333333
284,46.176056338,19.162794966,0.112676056,GARFIELD HTS,0.138559951,0.263209174,0.055014582,0
224,51.933035714,19.186364218,0.053571429,EASTLAKE,0.180013136,0.343851345,0.074877058,0.032857143
511,47.144814090,19.398568967,-0.068493151,WOOSTER,0.156007400,0.293878179,0.061807005,0.025659134
10,35.8,16.477594215,-0.1,CONVOY,0.117151532,0.234835310,0.050632701,0
127,48.653543307,18.392708162,-0.125984252,BELLEFONTAINE,0.152417678,0.278623806,0.069937101,0.059278351
524,40.261450382,18.449309464,0.261450382,ATHENS,0.157096344,0.271721452,0.062684945,0.030575540
90,49.533333333,19.175241528,-0.2,SHELBY,0.175936213,0.324033625,0.079349518,0.076086957
10,54.1,21.681789594,-0.6,ALGER,0.252642045,0.482282051,0.103928572,0.071428571
129,51.310077519,19.064364028,-0.023255814,NEW PHILADELPHIA-DOVER,0.201591744,0.366272269,0.077481201,0.036764706
16,55.75,23.222115896,-0.125,SHREVE,0.243670622,0.418310440,0.133928571,0.145833333
4,28,6.480740698,-0.5,EDISON,0.168529340,0.175252525,0.175595238,0
5,33.2,3.420526275,-0.6,MARIA STEIN,0.293278382,0.519597070,0.156885488,0
323,49.879256966,17.862856690,-0.058823529,CONCORD,0.196303726,0.355170511,0.067869678,0.034883721
11,49.090909091,17.154909183,-0.363636364,RACINE,0.133057268,0.253675889,0.048917749,0.064814815
17,46.588235294,13.793380765,0.117647059,WILLIAMSPORT,0.165654190,0.313300654,0.068818586,0.089285714
218,46.665137615,18.284308077,-0.022935780,FRANKLIN,0.126271148,0.243648592,0.048903640,0.025806452
78,54.115384615,17.231035703,-0.102564103,CLINTON,0.168154173,0.328053765,0.069666792,0.028985507
22,48.727272727,20.333368817,0.045454545,N BALTIMORE,0.187808555,0.333244949,0.090336134,0.1
9,42.888888889,11.218783852,-0.111111111,ZANESFIELD,0.129111436,0.232878788,0.063678805,0.0625
3,54.666666667,13.316656237,-0.333333333,GLANDORF,0.161458333,0.373333333,0.028571429,0
80,52.4125,19.383337324,-0.0875,HEATH,0.169324440,0.315616571,0.077721861,0.029166667
6,61.333333333,13.261473020,-0.666666667,LAKEVILLE,0.296875,0.486666667,0.190476190,0.041666667
4,38.25,10.045728777,0,CAIRO,0.034307065,0.077777778,0.007142857,0
7,45.571428571,27.036131028,-0.428571429,SOUTH SOLON,0.252463569,0.438095238,0.134693878,0
1,39,,0,HOLIDAY CITY,0,0,0,0
796,48.017587940,19.144198056,-0.005025126,SPRINGFIELD,0.170766928,0.307736159,0.072459042,0.105200946
36,56.277777778,18.796065107,-0.194444444,NEW LONDON,0.210917874,0.417407407,0.085901832,0.016666667
10,53.7,18.306343770,-0.4,OTWAY,0.154199661,0.293590909,0.069523810,0
3,66.666666667,16.289055630,0,COALTON,0.09375,0.213333333,0.019047619,0
8,48.25,18.956717618,-0.5,WEST FARMINGTON,0.225694445,0.391875,0.116964286,0.125
5,49.6,24.398770461,-0.6,CONOVER,0.281631098,0.473,0.165714286,0.166666667
3,52,26.851443164,0,BETTSVILLE,0.34375,0.62,0.152380952,0
485,49.276288660,17.303141723,-0.140206186,TROY,0.142621512,0.269280509,0.061128588,0.019333333
4,42.5,25.488559525,-0.25,KELLEYS ISLAND,0.135602678,0.277142857,0.021428572,0.125
19,43.526315789,16.631190313,0.105263158,BYESVILLE,0.156116898,0.311325760,0.053325616,0.057692308
6,50.833333333,16.080008292,-0.666666667,STOUT,0.205729167,0.4,0.090476190,0
1246,49.170144462,18.222849185,0.076243981,WESTLAKE,0.140751448,0.262379445,0.052171966,0.003118503
25,48.64,15.657479576,-0.32,BURBANK,0.200126504,0.390427329,0.083888528,0.035714286
61,55.475409836,15.758179418,-0.196721311,LISBON,0.204849435,0.358920680,0.115463354,0.004464286
