Zip Code,Population
45387,"5,390"
45710,"5,378"
43403,"5,374"
43938,"5,359"
43112,"5,357"
43783,"5,352"
44507,"5,346"
44272 and 44842,"5,343"
45381,"5,318"
43080 and 43822,"5,316"
43947,"5,310"
43723,"5,202"
45856 and 45628,"5,187"
43025,"5,092"
44676,"5,068"
45338,"5,050"
44254,"5,049"
44076 and 44304,"5,018"
44262,"5,017"
45323,"4,947"
45644,"4,931"
43044,"4,930"
44243,"4,914"
45614,"4,883"
45869,"4,875"
45135,"4,873"
45865,"4,859"
45368,"4,824"
43777,"4,803"
44644,"4,790"
44504,"4,787"
44440,"4,764"
44672,"4,761"
43431,"4,724"
43793,"4,721"
45697,"4,715"
44430,"4,698"
44851,"4,697"
43845,"4,696"
16159,"4,689"
43756,"4,669"
44837,"4,642"
45169,"4,611"
43061,"4,603"
45612,"4,563"
43440,"4,556"
44065,"4,554"
45065,"4,520"
45308,"4,518"
44431,"4,491"
44302,"4,489"
44280,"4,484"
43102,"4,480"
43610,"4,465"
45252,"4,456"
43331,"4,446"
43821,"4,444"
44072,"4,422"
43222,"4,417"
43240,"4,411"
44621,"4,406"
45732,"4,403"
44680,"4,401"
44438,"4,360"
43022,"4,353"
45347,"4,346"
44824,"4,325"
44003,"4,323"
43002,"4,303"
43532,"4,286"
45302,"4,281"
45887,"4,279"
43430,"4,246"
45846,"4,231"
44437,"4,229"
44127,"4,226"
45872,"4,200"
44234,"4,173"
43412,"4,162"
45144,"4,149"
43824,"4,087"
45760,"4,076"
45130,"4,020"
43517,"4,012"
45315,"3,977"
45113,"3,956"
44442,"3,952"
44643,"3,949"
43135,"3,942"
45653,"3,924"
44403,"3,920"
45843,"3,907"
45883,"3,899"
44470,"3,893"
45118,"3,875"
43154,"3,858"
45052,"3,830"
45159,"3,826"
43357,"3,825"
45218,"3,815"
44436,"3,796"
45341,"3,793"
43804,"3,781"
43542,"3,779"
45142,"3,754"
44609,"3,747"
43318,"3,738"
43014,"3,733"
45652,"3,706"
43046,"3,684"
43450,"3,673"
45167,"3,652"
44452,"3,622"
44445,"3,610"
44847,"3,604"
44217,"3,583"
44085,"3,560"
45369,"3,559"
44288,"3,542"
45723,"3,532"
45850,"3,530"
43844,"3,527"
45813,"3,522"
45686,"3,508"
43447,"3,498"
44704,"3,495"
43522,"3,466"
44491,"3,462"
44084,"3,454"
44846,"3,432"
45814,"3,417"
43910,"3,411"
45831,"3,400"
44275,"3,387"
45786,"3,361"
45784,"3,355"
45771,"3,347"
43773,"3,327"
43107,"3,323"
45390,"3,310"
44473,"3,287"
44864 and 43917,"3,281"
44402,"3,278"
43787,"3,274"
43945,"3,236"
43469,"3,220"
43557,"3,216"
45623,"3,210"
43570,"3,194"
44878,"3,153"
43416,"3,150"
44822,"3,124"
45064,"3,123"
45780,"3,102"
43758,"3,098"
44253,"3,094"
45832,"3,088"
45742,"3,077"
44865,"3,076"
45844,"3,066"
44428,"3,061"
43314,"3,032"
43324,"3,007"
44637,"3,000"
43943,"2,997"
43516,"2,986"
45858,"2,972"
44688,"2,961"
43718,"2,944"
45845,"2,931"
45054,"2,924"
43942 and 43003,"2,922"
45120,"2,912"
44814,"2,894"
44880,"2,886"
44264,"2,885"
45647,"2,882"
44401,"2,868"
43342,"2,862"
44506,"2,853"
45882,"2,852"
44040,"2,851"
43569,"2,849"
44882,"2,839"
43521,"2,832"
43310 and 44626,"2,811"
43060,"2,810"
45613,"2,803"
45679,"2,801"
43358,"2,771"
43719,"2,764"
45880,"2,754"
43748,"2,749"
45744,"2,746"
45629,"2,741"
45767,"2,724"
45658,"2,708"
44451,"2,702"
44082,"2,690"
43155,"2,672"
43518,"2,657"
44510,"2,654"
45715 and 45659,"2,653"
44046,"2,650"
44656,"2,647"
43008,"2,640"
44429,"2,629"
44901,"2,627"
43009,"2,614"
44677,"2,593"
44840,"2,578"
44849,"2,572"
43001,"2,570"
44099,"2,558"
44867,"2,543"
45303,"2,542"
44629,"2,541"
44645,"2,530"
44214,"2,520"
43128,"2,519"
